team,matches_played,incident_count,impact,impact_per_match
canada,2,4,-1.91,-0.96
brazil,2,3,1.06,0.53
germany,1,2,-2.3,-2.3
mexico,2,4,0.79,0.4
usa,2,6,0.22,0.11
portugal,1,1,0.3,0.3
switzerland,3,3,1.52,0.51
egypt,2,5,-2.61,-1.3
argentina,5,11,7.28,1.46
norway,3,6,-0.27,-0.09
england,5,9,-2.65,-0.53
spain,3,4,0.32,0.11
belgium,2,4,1.48,0.74
colombia,2,2,-1.15,-0.57
morocco,2,5,0.53,0.26
france,4,11,-2.73,-0.68
south africa,1,1,1.02,1.02
japan,1,1,0.16,0.16
paraguay,2,9,4.43,2.22
ecuador,1,1,-0.1,-0.1
bosnia and herzegovina,1,4,-0.22,-0.22
croatia,1,1,-0.3,-0.3
algeria,1,1,-0.88,-0.88
australia,1,2,-0.33,-0.33
cape verde,1,4,-3.26,-3.26
ivory coast,1,1,-0.3,-0.3
dr congo,1,1,0.94,0.94
austria,1,1,0.25,0.25
senegal,1,2,-1.48,-1.48
ghana,1,1,0.18,0.18
